"pageKey","path","type","variantIndex","value"
"home","/","title","1","Projonexa | Final Year Projects, AI and MVP Experts"
"home","/","title","2","Projonexa | India's Final Year Project and MVP Partner"
"home","/","description","1","Get final year projects, AI/ML systems, and startup MVP development with complete documentation, deployment guidance, and mentor-led viva support."
"home","/","description","2","Projonexa helps students and startups build production-ready projects with clear milestones, technical documentation, and mentoring support."
"services","/services","title","1","Project Development Services India | Projonexa"
"services","/services","title","2","Projonexa Services | Final Year, AI and MVP Development"
"services","/services","description","1","Explore final year project delivery, AI solutions, web and mobile development, IoT builds, and startup MVP engineering with complete support."
"services","/services","description","2","Choose Projonexa services for end-to-end project development, technical documentation, deployment guidance, and deadline-focused execution plans."
"pricing","/pricing","title","1","Pricing Plans | Projonexa Final Year and MVP Services"
"pricing","/pricing","title","2","Projonexa Pricing | Transparent Plans for Projects"
"pricing","/pricing","description","1","View transparent pricing for final year projects and startup MVPs with custom quotes based on complexity, technical scope, timeline, and deliverables."
"pricing","/pricing","description","2","Get affordable student and startup project pricing with clear scope mapping, documentation coverage, milestone-based execution, and support details."
"faq","/faq","title","1","Projonexa FAQ | Projects, Pricing and Delivery Answers"
"faq","/faq","title","2","Final Year Project FAQ India | Projonexa Support Team"
"faq","/faq","description","1","Read direct answers on project types, deliverables, pricing, timelines, and support options for students, startups, and business teams in India."
"faq","/faq","description","2","Find quick answers about final year projects, MVP development, documentation, response times, and the inquiry process with the Projonexa team."
"contact","/contact","title","1","Contact Projonexa | Project Consultation in India"
"contact","/contact","title","2","Projonexa Contact | Start Your Final Year or MVP Project"
"contact","/contact","description","1","Contact Projonexa for final year projects, AI/ML, web and mobile apps, IoT, and startup MVP support with a fast response within 24 hours."
"contact","/contact","description","2","Submit your project scope, timeline, and goals to get a clear consultation response for student, startup, or business requirements in India."
